State,Accident_Count,Severe_Rate,Avg_Visibility,Avg_Precipitation
CA,115327,0.4557909249351843,9.361314647361956,0.02370860927152318
FL,30200,0.3198013245033113,9.519122078617826,0.054256849315068495
GA,11508,0.6190476190476191,9.292206140350876,0.06889273356401385
IL,10385,0.15233509870004813,9.055734387047032,0.026383928571428572
NE,5898,0.12122753475754493,9.496497789867393,0.048300653594771245
SC,2243,0.16852429781542577,9.05269784172662,0.0727972027972028
IA,1421,0.5383532723434201,8.888641779189832,0.024552845528455283
MO,1118,0.8407871198568873,9.092025089605736,0.037748917748917754
MI,1113,0.3971248876909254,8.032432432432433,0.004229607250755287
OH,727,0.32324621733149933,7.234159779614325,0.02206521739130435
WI,36,0.6944444444444444,8.414285714285715,0.005
IN,22,0.9090909090909091,9.463636363636363,
WV,2,0.5,6.0,0.0
